Vegetable,Weather Conditions,pH Level,Freshness Level,Storage Value,Harvest Date,Yield Quantity,Pest Control Methods,Nutrient Levels,Compliance Status,Inspection Date,Regulatory Body,Safety Certification
RED CABAGE,Mild & Wet,6.7,Very Fresh,Good condition,2015-07-13,1.2,Pesticides,Low,Compliant,2015-07-28,Food and Drug Authority,Certified
Kohlrabi,Moist,6.6,Good,Good,1966-07-20,1.28,Organic,High,No,1966-07-20,California Department of Food and Agriculture,Not Certified
White onion,Sunny weather,7.4,Fresh,Stored at room temperature,1959-05-26,0.257,Organic Pesticides,Very High,In Compliance,2020-06-13,Food and Drug Authority,Certified
Carrot,sunny,6.8,fresh,Fresh,2022-11-15,1.062,chemical pesticides,high,Compliant,2023-05-09,Food and Drug Administration (FDA),Yes
Celery,Cool,6.3,Average,Good,2021-01-14,0.322,Insecticides,Low,Compliant,2021-01-14,Food and Drug Administration,Compliant
Banana,Hot,5.8,Fresh,Stored in a cellar,1978-05-14,0.86,Pesticides,Low,Not Compliant,2015-06-17,None,Not Certified
Broccoli,Sunny,7.0,very fresh,Good,1987-08-16,0.08,No pesticide,good,Yes,1987-08-01,USDA-FSIS,Certified
CUCUMBER,fair,6.6,Fresh,Good,1998-08-06,0.415,Organic,Medium,Compliant,1998-08-05,Food Safety and Inspection Service (FSIS),Yes
Yellow onions,Sunny,6.5,Very Fresh,Fresh,1988-03-15,1.04,Herbal,High,Yes,2011-04-18,Department of Agriculture,Yes
Cucumber,Normal,7.6,Very Fresh,Very poor,2021-01-07,5.24,Natural pest control,Rich,Compliant,2021-02-23,Food and Drug Administration,Yes
Broccoli,Hot,8.45,Fresh,Safe for Storage,1991-01-04,0.9,Fumigation,Low,Meets safety standards,1989-07-19,FDA,Certified
Squash,Temperate,6.7,Good,Good storage condition,1992-10-26,5.97,Organic pest control,Balanced,Compliant,2015-08-25,FDA (Food and Drug Administration),Certified
okra,sunny,5.8,very fresh,good,2021-01-28,5.8,Neem Oil,Rich,Compliant,2021-02-27,FDA,Certified
